date,tokenAmount,daily_usage,days_lasted,balance_end
10/1/2023,100,12,8,4
10/9/2023,150,11.5,13,0.5
10/22/2023,80,13,6,2
10/28/2023,120,12.5,9,7.5
11/7/2023,90,14.8,6,0.2
11/13/2023,130,11,11,9
11/24/2023,75,13.5,5,7.5
11/29/2023,110,14,7,12
12/6/2023,50,15.5,3,3.5
12/9/2023,140,12.8,11,3.2
12/20/2023,85,11,7,10
12/27/2023,105,14,7,7
1/3/2024,65,13,5,0
1/8/2024,160,12.2,13,4.6
1/21/2024,90,14.5,6,3
1/27/2024,115,13.5,8,7
2/4/2024,70,11.8,5,11
2/9/2024,130,14,9,4
2/18/2024,80,13.2,6,0.8
2/24/2024,100,11,9,1
3/4/2024,60,15,4,0
3/8/2024,145,12,12,1
3/20/2024,95,13.5,7,1.5
3/27/2024,125,11.8,10,7
4/6/2024,75,14.2,5,4
4/11/2024,100,13,7,9
4/18/2024,80,11.5,6,11
4/24/2024,130,12.2,10,8
5/4/2024,60,14,4,4
5/8/2024,115,11.3,10,2
5/18/2024,70,13.8,5,1
5/23/2024,95,12,7,11
5/30/2024,140,13.5,10,5
6/9/2024,85,11.5,7,6.5
6/16/2024,100,14,7,2
6/23/2024,65,13,5,0
6/28/2024,125,11.8,10,7
7/8/2024,75,15,5,0
7/13/2024,110,12.2,9,0.2
7/22/2024,90,14.5,6,3
7/28/2024,130,11,11,9
8/8/2024,80,13.5,5,7.5
8/13/2024,100,14,7,2
8/20/2024,70,12.8,5,6
8/25/2024,150,11.5,13,3.5
9/7/2024,95,13,7,4
9/14/2024,120,12,10,0
9/24/2024,85,14.2,6,0.8
9/30/2024,110,11,10,0
10/10/2024,75,13.5,5,7.5
10/15/2024,130,12.5,10,5
10/25/2024,90,14,6,6
10/31/2024,145,11.2,12,1.4
11/12/2024,80,13.8,5,11
11/17/2024,105,11,9,6
11/26/2024,70,14,5,0
12/1/2024,150,12.5,12,0
12/13/2024,95,13.5,7,0.5
12/20/2024,120,11.8,10,2
12/30/2024,85,14.5,6,0
1/5/2025,115,12.2,9,5.2
1/14/2025,75,13,5,10
1/19/2025,140,11.5,12,2
1/31/2025,90,14,6,6
2/6/2025,100,12.5,8,0
2/14/2025,65,11,5,10
2/19/2025,130,14.5,9,3.5
2/28/2025,80,13,6,2
3/6/2025,110,11.2,10,1
3/16/2025,70,14,5,0
3/21/2025,150,12,12,6
4/2/2025,95,13.8,7,0.4
4/9/2025,125,11.5,10,10
4/19/2025,85,14,6,1
4/25/2025,105,12,8,9
5/3/2025,60,13.5,4,6
5/7/2025,140,11,12,8
